id,imena,žanri,jeziki,št poglavij
86,Suuji de Asobo,"['Comedy', 'School', 'Slice of Life']",JA,34
87,Synchro Onchi!,"['Comedy', 'Drama', 'Romance']",JA,25
88,Teni Muhou: Musashibou Benkei,"['Action', 'Historical', 'Super Power']",JA,32
89,Tensei shitara Party ga Otokonoko darake Datta kedo Danjite Ore wa Shotacon ja Nai!,"['Comedy', 'Fantasy', 'Shounen Ai']",EN,17
90,Tenshi no Tsura no Kawa,"['Comedy', 'Drama', 'Romance']",JA,0
91,The Stories of Those Around Me,"['Comedy', 'Romance', 'Slice of Life']",EN,60
92,Thunderbolt Fantasy: Touriken Yuuki,"['Action', 'Adventure', 'Fantasy']",EN,34
93,Tiger & Bunny,"['Action', 'Sci-Fi', 'Seinen']",EN,25
94,Tokimeki Midnight,"['Romance', 'Shoujo', 'Supernatural']",JA,28
95,Tokyo Ravens: Sword of Song,"['Action', 'Comedy', 'School']",JA,21
96,Ultraman,"['Action', 'Drama', 'Super Power']",EN,102
97,Umimachi Diary,"['Shoujo', 'Slice of Life', 'Drama']",EN,8
98,Under Prin,"['Action', 'Comedy', 'Demons']",EN,326
99,Unkai no Tabibito,"['Action', 'Fantasy', 'Shounen']",JA,10
100,Usakame,"['Comedy', 'School', 'Sports']",JA,12
101,Wadaiko†Girls,"['Comedy', 'School', 'Slice of Life']",JA,12
102,Wana Girl,"['Seinen', 'Slice of Life']",JA,49
103,Wondance,"['Romance', 'School', 'Sports']",JA,48
104,Wonder!,"['Drama', 'Slice of Life', 'Josei']",EN,13.5
105,Yandere Kanojo ni Nemurasete Moraenai Hanashi,"['Comedy', 'Drama', 'Romance']",EN,35
106,Yura-kun no 10% ni wa Himitsu ga Aru,"['Romance', 'School', 'Shoujo']",nedoločen,0
107,Zipang: Shinsou Kairyuu,"['Drama', 'Historical', 'Seinen']",JA,226
108,"""Aoi"" When Hikaru was on the earth","['School', 'Shounen', 'Supernatural']",EN,15
109,"""How Many People Did I Kill?""",['Mystery'],JA,18
110,"""Ippon"" again!","['Martial Arts', 'Shounen', 'Slice of Life']",JA,212
111,"""I… Don't Want to Work Anymore"" I Quit Being an Adventurer. Even if You Treat Me Better Now, I Won't Do It. I Will NEVER Work Again.","['Adventure', 'Fantasy']",EN,13
112,"""Kodomo wo Koroshite Kudasai"" to Iu Oya-tachi","['Drama', 'Seinen']",JA,24.5
113,"""Love"" Will be in Full Bloom!","['Comedy', 'Romance', 'School']",EN,21
114,"""Nobukuni-san"" Does She Like Me?","['Comedy', 'Ecchi', 'Romance']",EN,51
115,"""X"" Method In The Dead Of Night","['Mystery', 'Seinen', 'Supernatural']",EN,27
116,#Blessed,['Drama'],EN,80
117,#Buzz Game,"['Action', 'Shounen']",JA,10
118,#DRCL midnight children,"['Drama', 'Horror', 'Seinen']",EN,24
