id,imena,žanri,jeziki,št poglavij
1954,Chiisakobee,"['Drama', 'Seinen']",JA,0
1955,Chiisana Honyasan,['Yaoi'],EN,2
1956,Chisa x Pon,"['Ecchi', 'Romance', 'Seinen']",EN,57
1957,"Chishiryouban no Ai wo Komete, Infused with a Lethal Dose of Love","['Drama', 'Romance', 'Yaoi']",EN,2
1958,Chitose etcetera,"['Romance', 'School', 'Shoujo']",EN,47.2
1959,Chitose Get You!!,"['Comedy', 'Romance', 'School']",EN,0
1960,Chitose Is in the Ramune Bottle,"['Comedy', 'Harem', 'Romance']",EN,8
1961,Chiyoko Chocolate,"['Drama', 'Josei', 'Romance']",EN,7
1962,"Chiyu Mahou wa Tsukaenai to Tsuihousareta no ni, Naze ka Tayoraretemasu",['Fantasy'],JA,1
1963,Chizumi & Fujiomi - Golden Book,"['Romance', 'Shoujo']",EN,5.5
1964,Chizumi & Fujiomi - Pastel Mood,"['Romance', 'Shoujo']",EN,3.5
1965,Chizumi & Fujiomi - Waiting for Spring,"['Romance', 'Shoujo']",EN,6
1966,Chobits,"['Comedy', 'Ecchi', 'Psychological']",EN,88
1967,Choco Latte,['Romance'],EN,85
1968,Choco Parfait,"['Comedy', 'School', 'Slice of Life']",EN,6
1969,Chocolate,"['Comedy', 'Drama', 'Romance']",EN,11.5
1970,Chocolate 79,"['Comedy', 'Romance', 'School']",EN,240
1971,Chocolate and Mint,['Shoujo'],EN,5
1972,Chocolate Bf,"['Romance', 'Shoujo']",EN,4
1973,Chocolate Christmas,"['Comedy', 'Romance', 'Shoujo']",EN,2
1974,Chocolate Contest,"['Romance', 'Shoujo']",EN,3
1975,Chocolate Cosmos,"['Romance', 'School', 'Shoujo']",EN,15.5
1976,Chocolate Girl,"['Comedy', 'Josei', 'Romance']",EN,19
1977,Chocolate Junkie,"['Drama', 'Josei', 'Romance']",JA,12
1978,Chocolate Strawberry Vanilla,['Yaoi'],EN,6.5
1979,Chocolate Surprise,"['School', 'Yaoi']",EN,7
1980,Chocolate Underground,"['Adventure', 'Shoujo']",EN,3
1981,Chocolate Vampire,"['Drama', 'Romance', 'Shoujo']",JA,103.5
1982,Chocomimi,"['Comedy', 'Romance', 'School']",JA,45
1983,Chocotto Sister,"['Comedy', 'Ecchi', 'Romance']",EN,69.5
1984,Choi Hime,"['Comedy', 'Shounen', 'Supernatural']",EN,6
1985,Choking on Love,"['Music', 'Romance', 'Slice of Life']",EN,2
1986,Choku!,"['Comedy', 'Romance', 'School']",EN,21.12
1987,Chokujou Lovers,"['School', 'Yaoi']",EN,6
1988,Chong Tai Ji,"['Action', 'Adventure', 'Drama']",EN,7
1989,Chopperman,"['Comedy', 'Fantasy', 'Kids']",JA,25
1990,Chotto Edo Made,['Shoujo'],EN,34.3
1991,Chotto Friday,"['Drama', 'Shoujo']",EN,4.5
1992,"Chou Donkan Mob Ni Heroine Ga Kouryaku Sarete, Otome Game Ga Hajimarimasen","['Comedy', 'Fantasy', 'Romance']",JA,8
1993,Chou Kochikame,"['Comedy', 'Parody']",JA,1525
1994,Chouchou Kumo,"['Drama', 'Romance', 'Shoujo']",EN,4
1995,Choujigen Game Neptune - Hello New World,"['Comedy', 'Fantasy', 'Sci-Fi']",EN,14.5
1996,Choujigen Game Neptune - Megami Tsuushin,"['Action', 'Comedy', 'Fantasy']",EN,37
1997,Choujin Gakuen,"['Action', 'Comedy', 'Fantasy']",EN,40
1998,Choujin X,"['Action', 'Supernatural']",EN,39
1999,Choukyouai,"['Romance', 'Shoujo']",EN,4
2000,Chounin A wa Akuyaku Reijou wo Doushite mo Sukuitai,"['Action', 'Comedy', 'Fantasy']",JA,17
2001,Chouri Keiji no Sousaku Gohan,"['Comedy', 'Seinen', 'Slice of Life']",JA,23
2002,Chousou no Babel,"['Horror', 'Seinen', 'Supernatural']",EN,1
2003,Chousuinou Kei - Makafushigi Jiken File,"['Drama', 'Mystery', 'Shounen']",EN,0
2004,CHR-47,"['Action', 'Horror', 'Sci-Fi']",EN,138
2005,Christmas Romance,"['Comedy', 'Romance', 'Shoujo']",EN,1
2006,Chrno Crusade,"['Action', 'Adventure', 'Drama']",EN,56.5
2007,Chrome Breaker,"['Action', 'Fantasy', 'Shoujo']",EN,10
2008,Chrome Shelled Regios,"['Action', 'Adventure', 'Fantasy']",EN,16.3
2009,Chromosome 47,"['Action', 'Adventure', 'Sci-Fi']",EN,295
2010,Chronic Love ~Reminiscence~,"['Historical', 'Yaoi']",EN,6
2011,Chronicles of an Aristocrat Reborn in Another World: The Apostle of the Gods Who Know No Self-Restraint,"['Action', 'Fantasy', 'Harem']",EN,53
2012,Chronicles of Heavenly Demon,"['Action', 'Drama', 'Fantasy']",EN,200
2013,Chronicles of Narnia: The Magician's Nephew,"['Adventure', 'Fantasy', 'Mystery']",EN,15
2014,Chronicles of the Cursed Sword,"['Action', 'Adventure', 'Drama']",EN,95
2015,Chronicles of the Demon Faction,"['Action', 'Drama', 'Fantasy']",EN,23
2016,Chronicles of the Martial God’s Return,"['Action', 'Historical', 'Martial Arts']",EN,57
2017,Chrono Code,"['Action', 'Adventure', 'Fantasy']",EN,0
2018,Chronos - Deep,"['Drama', 'Josei', 'School']",EN,25
2019,"Chubby, Love and Mistakes!","['Comedy', 'Drama', 'Romance']",EN,33
2020,Chun Returns the Favor,"['Comedy', 'Fantasy', 'Romance']",EN,44
2021,ChunRangYulJun,"['Action', 'Adventure', 'Fantasy']",EN,0
2022,Chunshik the Old Newbie,['Comedy'],EN,11
2023,Chuuka Ichiban!,"['Comedy', 'Shounen']",EN,30.5
2024,Chuukan Kanriroku Tonegawa,"['Comedy', 'Drama', 'Parody']",JA,0
2025,Chuuken Kunshu,"['Comedy', 'Yaoi']",EN,0
2026,Chuuko demo Koi ga Shitai!,"['Comedy', 'Ecchi', 'Harem']",EN,127
2027,Cierra,"['Fantasy', 'Romance', 'Shoujo']",EN,59
2028,Cigarette & Cherry,"['Comedy', 'Romance']",EN,126
2029,Ciguatera,"['Comedy', 'Drama', 'Psychological']",EN,69
2030,Cinderella Closet,"['Romance', 'School', 'Shoujo']",EN,20
2031,Cinderella Cosplaytion,"['Comedy', 'School', 'Shoujo Ai']",EN,7
2032,Cinderella Girls: Under 149,['Slice of Life'],EN,77
2033,"Cinderella no Ane desu ga, Fuhoninagara Ouji to Kekkon suru Koto ni narimashita – Migawari Outaishi-hi wa Rikyuu de Slow Life wo Mankitsu suru","['Comedy', 'Fantasy', 'Romance']",JA,5
2034,Cinderella wa Sagasanai,"['Comedy', 'Drama', 'Romance']",EN,41
2035,Cinema Next Door,"['Comedy', 'Shounen Ai', 'Slice of Life']",EN,4
2036,CinnamonRoll,['Comedy'],EN,37
2037,Cipher Academy,['Shounen'],EN,31
2038,Citrus,"['Drama', 'School', 'Yuri']",EN,41
2039,Citrus+,"['Drama', 'School', 'Shoujo Ai']",EN,33
2040,CITY,"['Comedy', 'Seinen', 'Slice of Life']",EN,186
2041,City Hunter,"['Adventure', 'Comedy', 'Police']",EN,191
2042,City of Blank,['Sci-Fi'],EN,134
2043,City of Dead Sorcerer,"['Action', 'Adventure', 'Comedy']",EN,231
2044,"City of Love Prison, The City of Imprisoned Love","['Drama', 'Psychological', 'Shounen']",EN,47
2045,City Of Sanctuary,"['Action', 'Adventure', 'Fantasy']",EN,174
2046,City of The Ravenous,"['Action', 'Adventure', 'Comedy']",EN,12
2047,City of Walls,"['Action', 'Adventure', 'Sci-Fi']",EN,59
2048,Clamp School Detectives,"['Comedy', 'Mystery', 'Shoujo']",EN,12.5
2049,Class Ga Isekai Shoukan Sareta Naka Ore Dake Nokotta N Desu Ga,"['Action', 'Fantasy']",EN,30
2050,Class Maid,"['Comedy', 'Ecchi', 'Romance']",EN,5
2051,Class mushoku no Eiyuutan,['Adventure'],JA,14
2052,"Class-shokan Ni Makikomareta Teacher, Hazure-skill De Machine-girl Wo Repair Suru",['Fantasy'],JA,15
2053,Classmates,"['School', 'Shounen Ai', 'Slice of Life']",EN,51
2054,Classroom of the Elite,"['Comedy', 'Romance', 'School']",EN,73
2055,Claymore,"['Action', 'Adventure', 'Fantasy']",EN,155
2056,Cleanliness Boy! Aoyama-kun,"['Comedy', 'Seinen', 'Sports']",EN,35
2057,Clear the World like a Game with the Zero Believer Goddess,"['Fantasy', 'Romance']",EN,30
2058,Clear Up After Rain,"['Fantasy', 'Gender Bender', 'School']",EN,35
2059,Cleo and the Forest of the Undead,"['Action', 'Adventure', 'Drama']",EN,23
2060,"Clevatess - The King of Devil Beasts, the Baby and the Brave of the Undead","['Action', 'Drama', 'Fantasy']",EN,14
2061,Clinic of Horrors,['Supernatural'],EN,91
2062,Clockwork Apple,"['Action', 'Drama', 'Horror']",EN,8
2063,Clockwork Planet,"['Fantasy', 'Sci-Fi', 'Shounen']",EN,51
2064,Coffee Time,"['Comedy', 'Seinen', 'Slice of Life']",EN,17
2065,Coffin Jackson,"['Action', 'Comedy', 'Drama']",EN,41
2066,Colette Decides to Die,"['Comedy', 'Fantasy', 'Romance']",EN,85
2067,Collector of Creepiness,"['Drama', 'Fantasy', 'Horror']",EN,5
2068,Collide,"['Action', 'Fantasy', 'Romance']",EN,128
2069,Color of Rage,"['Action', 'Adventure', 'Drama']",EN,8.5
2070,Colorful Gray,"['Comedy', 'Fantasy', 'Seinen']",JA,14
2071,Colorful Macchiato! - Mahou Shoujo Wa Tatakawanai.,"['School', 'Seinen', 'Slice of Life']",EN,18.5
2072,Colori Colore Creare,"['Seinen', 'Slice of Life']",JA,15
2073,Colorless,"['Action', 'Fantasy', 'Super Power']",EN,44.2
2074,Combatants Will Be Dispatched!,"['Action', 'Comedy', 'Fantasy']",EN,47
2075,Combine Cube,['nedoločen'],EN,58
2076,"Come and Eat Me, Breakfast Boy!",['Romance'],EN,17
2077,Come on My Pussy Cat,"['Josei', 'Romance', 'Slice of Life']",EN,35
2078,Come Rain or Shine,"['Comedy', 'School', 'Shoujo Ai']",EN,19.5
2079,Comfortable life in another world with a cheat tablet,"['Action', 'Fantasy']",EN,16
2080,COMIC AUN Kai,"['Ecchi', 'Hentai', 'Shoujo']",JA,0
2081,Comic Girls,"['Comedy', 'Slice of Life']",JA,80
2082,Comic Maplestory Offline RPG,"['Adventure', 'Comedy', 'Fantasy']",EN,18
2083,Comical Psychosomatic Medicine,"['Comedy', 'Seinen']",EN,2
2084,Company cafeteria management of a company dungeon master-By far the worst devil in history!,"['Action', 'Adventure']",JA,16
2085,Company Grievance Squad,"['Action', 'Drama', 'Seinen']",EN,19
2086,Complicated Cohabitation,['Romance'],EN,8
2087,Complying with Imperial Edict,"['Comedy', 'Historical', 'Romance']",EN,52.5
2088,Compulsive Gambler Twin,"['Drama', 'Mystery', 'Psychological']",EN,67
2089,Concubine Walkthrough,"['Comedy', 'Fantasy', 'Historical']",EN,125
2090,Confession of The Second Empress of Sacrifice,"['Drama', 'Historical', 'Romance']",EN,12
2091,Confidential Confessions,"['Drama', 'Romance', 'Shoujo']",JA,12
2092,Confronting S.,"['Adventure', 'Comedy', 'Drama']",EN,23
2093,Connect,"['Mystery', 'Psychological', 'Supernatural']",EN,22
2094,Conquer the Throne Highschool,"['Action', 'Drama', 'School']",EN,32
2095,Conqueror of Dying Kingdom,"['Action', 'Fantasy', 'Shounen']",EN,2
2096,Console Her,['Romance'],EN,20
2097,Consumua and Sudutist!,"['Romance', 'School', 'Slice of Life']",EN,61
2098,Continue to Be Killed Summer,"['Horror', 'Mystery', 'Romance']",JA,6
2099,Continued Love,"['Drama', 'Romance', 'Sci-Fi']",EN,73
2100,Continuity is Magical,['Fantasy'],EN,13
2101,Contract Marriage of the Grand Master Sorcerers,"['Fantasy', 'Romance', 'Shounen']",JA,3
2102,Contract Marriage: I Married My Cunning Childhood Friend,['nedoločen'],EN,46
2103,Convenience Store of the Dead ~The Convenience Store Clerk Will Get Rescued in 100 Days~,"['Comedy', 'Horror', 'Romance']",EN,101
2104,Cooking Papa,"['Seinen', 'Slice of Life']",JA,598
2105,Cooking with wild game,['Fantasy'],EN,43
2106,Cooking Wizard,"['Drama', 'Fantasy', 'Romance']",EN,37
2107,Cool Shock B.T,"['Action', 'Comedy', 'Fantasy']",EN,6
2108,Coppelia's Coffin,"['Drama', 'Historical', 'Shoujo Ai']",EN,23
2109,Coppelion,"['Action', 'Drama', 'School']",EN,226
2110,Corpse Knight Gunther,"['Action', 'Drama', 'Fantasy']",EN,26
2111,Corpse Party,"['Horror', 'Mystery', 'School']",EN,4
2112,Corpse Party: Another Child,"['Drama', 'Horror', 'Mystery']",EN,17
2113,Corpse Party: Blood Covered,"['Drama', 'Horror', 'Mystery']",EN,47
2114,Corpse Princess,"['Action', 'Horror', 'Shounen']",JA,110.5
2115,Corrupt Pleasure,"['Drama', 'Ecchi', 'Psychological']",EN,49
2116,Corseltel no Ryuujitsushi - Shiryu Monogatari,"['Comedy', 'Fantasy', 'Josei']",EN,34
2117,Cosmic Censorship,"['Action', 'Romance', 'Sci-Fi']",EN,25
2118,Cosmo Familia,"['Drama', 'Fantasy']",EN,22
2119,Cosmos (TAMURA Ryuuhei),"['Action', 'Drama', 'Sci-Fi']",JA,2
2120,Could You Turn Three Perverted Sisters Into Fine Brides?,"['Comedy', 'Ecchi', 'Romance']",EN,9
2121,Countach,"['Cars', 'Comedy', 'Romance']",JA,289
2122,Countdown to Graduation,"['Romance', 'Shounen Ai']",EN,11
2123,Counterattack of a scheming princess,"['Historical', 'Romance']",EN,26
2124,Counting Sheep,['Horror'],EN,56
2125,Country of Gold,['Shoujo'],EN,6
2126,County of the Crimson Moon,"['Action', 'Drama', 'Fantasy']",EN,14
2127,County Princess Will Not Marry Four Times,"['Historical', 'Romance']",EN,47
2128,Couple of Mirrors,"['Drama', 'Historical', 'Romance']",EN,16
2129,"Courtroom in another world, the rebutting strange law lawyer","['Comedy', 'Drama', 'Fantasy']",EN,17
2130,Cousin,"['Comedy', 'Drama', 'Josei']",JA,30
2131,Covenant,['Action'],EN,76
2132,Cowboy Bebop,"['Action', 'Adventure', 'Comedy']",EN,11
2133,Cowboy Bebop: Shooting Star,"['Action', 'Adventure', 'Comedy']",EN,10
2134,Coyote,"['Supernatural', 'Yaoi']",EN,8.5
2135,Craft Orgasm,"['Comedy', 'Fantasy']",JA,6
2136,Craftmaster of Miniature Garden Kingdom,"['Adventure', 'Drama', 'Ecchi']",EN,33.5
2137,Crayon Days - Daikirai Na Aitsu,"['Comedy', 'Romance', 'School']",JA,26.5
2138,Crazy Food Truck,"['Action', 'Comedy', 'Ecchi']",EN,16
2139,Crazy for You,"['Drama', 'Romance', 'School']",JA,0
2140,Crazy Leveling System,"['Action', 'Adventure', 'Fantasy']",EN,106
2141,"Crazy, A Three-Year-Old Sect Master?!","['Action', 'Adventure', 'Comedy']",EN,15
2142,Creature!,"['Action', 'Horror', 'Mystery']",EN,82
2143,Creepy Cat,"['Comedy', 'Slice of Life', 'Supernatural']",EN,4.5
2144,Crepuscule,"['School', 'Supernatural', 'Vampire']",EN,251.2
2145,Crescendo to You,"['Music', 'Romance', 'Shoujo']",EN,3.3
2146,Crime and Punishment,"['Adventure', 'Historical']",EN,25
2147,Crimson Heart,['Fantasy'],EN,33
2148,Crimson Hero,"['Drama', 'Romance', 'School']",JA,87
2149,Crimson Prince,"['Fantasy', 'Shounen', 'Supernatural']",EN,96
2150,Crimson Snow,"['Drama', 'Yaoi']",EN,6
2151,Crimson Spell,"['Action', 'Adventure', 'Demons']",EN,61
2152,Crimson Stone,"['Action', 'Drama', 'Fantasy']",EN,25
2153,Croket!,"['Adventure', 'Comedy', 'Fantasy']",EN,5
2154,Cromartie High School,"['Comedy', 'Shounen']",JA,335.3
2155,Cross Game,"['Comedy', 'Drama', 'Romance']",JA,170
2156,Cross Manage,"['Comedy', 'Romance', 'Shounen']",EN,42.5
2157,Cross-Dressing Villainess Cecilia Sylvie,"['Comedy', 'Fantasy', 'Gender Bender']",EN,20.5
2158,Crossdressing Pandemic,"['Comedy', 'Gender Bender', 'School']",EN,20
2159,Crossing Egypt: Becoming The Pharaoh’s Bride,"['Drama', 'Fantasy', 'Historical']",EN,61
2160,Crossing the Walls of Love with You,"['Romance', 'School', 'Shoujo']",EN,13
2161,Crossplay Love: Otaku x Punk,"['Comedy', 'Gender Bender', 'Romance']",EN,29.2
2162,Crow in the Starry Sky,"['Game', 'Shoujo']",EN,44
2163,Crow Record: Infinite Dendrogram Another,"['Action', 'Adventure', 'Comedy']",EN,21
2164,Crown of Feathers,['Fantasy'],EN,14
2165,Crown of Thorns,"['Drama', 'School', 'Shoujo']",EN,12.5
2166,Crows,"['Action', 'School', 'Shounen']",EN,122
2167,Crows Gaiden: Housenka - The Beginning of Housen,"['Action', 'School', 'Shounen']",JA,7
2168,Crows Zero II: Suzuran x Housen,"['Action', 'School', 'Shounen']",EN,52
2169,Crumbs,['Romance'],EN,55
2170,Crusher Joe Rebirth,"['Action', 'Drama', 'Sci-Fi']",JA,47
2171,Crushing Love,"['Drama', 'Romance', 'Yaoi']",EN,8
2172,Cruyff-ism of the Evening Sky,"['Comedy', 'School', 'Sports']",JA,99
2173,Crying Freeman,"['Action', 'Adventure', 'Ecchi']",EN,103
2174,Cryptocurrency Revenge,"['Action', 'Drama', 'Seinen']",EN,10
2175,Ctrl+Z,"['Drama', 'Psychological', 'Supernatural']",EN,11
2176,Cube Arts,"['Action', 'Adventure', 'Seinen']",EN,28
2177,Cube X Cursed X Curious,"['Action', 'Ecchi', 'Fantasy']",EN,14
2178,Cultivating the supreme dantian,"['Action', 'Fantasy', 'Martial Arts']",EN,192
2179,Cultivation Chat Group,"['Fantasy', 'Martial Arts', 'School']",EN,510
2180,Cultivation Return on Campus,"['Action', 'Adventure', 'Fantasy']",EN,429
2181,Cultivator Against Hero Society,"['Action', 'Adventure', 'Comedy']",EN,271
2182,Cultivator x Contract Spirit,"['Fantasy', 'Shounen Ai']",EN,95
2183,Cultural Exchange With Game Center Girl,"['Comedy', 'Romance', 'Slice of Life']",JA,63.5
2184,Cupid's Chocolates,"['Comedy', 'Drama', 'Magic']",EN,116
2185,Curiosity Killed the Schoolgirl,"['Adventure', 'Comedy', 'School']",EN,13
2186,Curry naru Shokutaku,"['Comedy', 'Romance', 'Seinen']",JA,534.5
2187,Curse of Spring,"['Drama', 'Josei', 'Psychological']",EN,8.2
2188,Cursed Armor,"['Action', 'Adventure', 'Drama']",EN,5
2189,Cursed Child's Servant,"['Fantasy', 'Romance', 'Shoujo']",JA,19
2190,Daddy Boy,"['Comedy', 'Drama', 'Shounen']",EN,8
2191,Daddy Goes to School,"['Action', 'Comedy', 'Shounen']",EN,77
2192,Daddy's Sexy Dolls,"['Comedy', 'Drama', 'Psychological']",JA,6
2193,Daedalus of the Crows,['Fantasy'],EN,14
2194,Dagashi Kashi,"['Comedy', 'Shounen']",EN,179
2195,Dagashiya Yahagi Isekai ni Shutten Shimasu,['Fantasy'],JA,5
2196,Dahlia in Bloom: Crafting a Fresh Start With Magical Tools,"['Comedy', 'Fantasy', 'Magic']",JA,33
2197,Dahliya Wilts No More,"['Fantasy', 'Magic', 'Slice of Life']",EN,20
2198,Dai 3 Ouji Wa Slow Life o Goshomou,"['Comedy', 'Fantasy', 'Romance']",JA,3
2199,Dai Dark,"['Action', 'Adventure', 'Sci-Fi']",EN,40
2200,"Dai Shizen no Mahoushi Asht, Sutareta Ryouchi de Slow Life","['Adventure', 'Comedy', 'Fantasy']",JA,26
2201,Dai Zhan Tian Shi,"['Demons', 'Fantasy', 'Romance']",EN,20.5
2202,"Daidai Wa, Hantoumei Ni Nidone Suru",['Shounen'],EN,15
2203,Daigaku-chan × High School,"['Comedy', 'Romance', 'School']",EN,7
2204,Daily Jojo,"['Comedy', 'Romance', 'Slice of Life']",EN,98
2205,Daily Life In TS School,"['Ecchi', 'Gender Bender', 'School']",EN,15
2206,Daily Life Of A Certain Married Couple,"['Historical', 'Romance', 'Slice of Life']",EN,50
2207,Daily Life of Char,"['Comedy', 'Parody', 'Shounen']",EN,75.5
2208,Daily Life of Farming Life in Another World,"['Comedy', 'Fantasy']",JA,12
2209,"Daily Life of Sa-chan, a Drugstore Clerk","['Romance', 'Slice of Life']",EN,13.5
2210,Daily Life of Sorceress Nina,"['Fantasy', 'Slice of Life']",EN,22
2211,Daily lives of high school boys,"['Comedy', 'School', 'Slice of Life']",EN,106.2
2212,Daily Lives of Tadano Technical High School,"['Comedy', 'School', 'Seinen']",EN,3
2213,Daily witch about my Boss,"['Magic', 'Romance', 'Slice of Life']",EN,63
2214,Dainana Joshikai Houkou,"['Sci-Fi', 'Seinen', 'Slice of Life']",EN,77
2215,Daisuki desu!! Mahou Tenshi Cosmos,"['Action', 'Ecchi', 'Fantasy']",EN,19
2216,"Daizai No Mao Hametsu Skill ""daizai"" Ga, Jitsuha Saikyodeshita! ""ga Cha"" To ""haigo"" De Nariagaru Mao Do","['Action', 'Adventure', 'Fantasy']",JA,5
2217,Dakkou Suru Made Ochimasen,"['Comedy', 'Ecchi', 'Romance']",EN,17
2218,Dam of the Forest,"['Drama', 'Mystery', 'Supernatural']",EN,26
2219,Damasare Uragirare Shokei Sareta Watashi Ga…… Dare wo Shinjirareru To iu Nodesho,"['Fantasy', 'Shoujo']",JA,21
2220,Dame Na Watashi Ni Koishite Kudasai,"['Comedy', 'Josei', 'Romance']",JA,40
2221,DAME SKILL “JIDOU KINOU” GA KAKUSEI SHIMASHITA,"['Action', 'Comedy', 'Fantasy']",JA,65
2222,Damn Reincarnation,"['Action', 'Adventure', 'Drama']",EN,58
2223,Dance Dance Danseur,"['Drama', 'Seinen']",EN,79
2224,Dance in the Vampire Bund,"['Action', 'Ecchi', 'Romance']",EN,82
2225,Dance in the Vampire Bund: Age of Scarlet Order,"['Action', 'Ecchi', 'Romance']",EN,37.5
2226,Dance in the Vampire Bund: The Memories of Sledge Hammer,"['Action', 'Drama', 'Seinen']",EN,13
2227,Dance of Love,"['Comedy', 'Romance', 'Slice of Life']",EN,60
2228,Dance Till Tomorrow,"['Drama', 'Ecchi', 'Romance']",EN,89
2229,Danchigai,"['Comedy', 'School', 'Slice of Life']",EN,126
2230,Dancin' Respawn,"['Comedy', 'Romance', 'Seinen']",EN,43
2231,Dancing In The Evening Lull With My Ribbon,"['Seinen', 'Slice of Life', 'Sports']",EN,11
2232,Dandadan,"['Comedy', 'Mystery', 'Sci-Fi']",EN,113
2233,Dandara Gohan,"['Historical', 'Slice of Life']",EN,9.5
2234,Danganronpa - Kibou No Gakuen To Zetsubou No Koukousei,"['Action', 'Horror', 'Mystery']",EN,6.1
2235,Dangerous Dungeon Escape,"['Action', 'Adventure', 'Fantasy']",EN,15
2236,Danjon no Aru Sekai de Kashikoku Sukoyaka ni Ikiru Houhou,"['Harem', 'Romance']",JA,11
2237,Dansan Joshi,"['Comedy', 'School', 'Shounen']",JA,62
2238,Dantou no Archange,['Historical'],EN,10
2239,Danzaisareta Akuyaku Reijou wa Zokuhen no Akuyaku Reijou ni Umarekawaru,"['Fantasy', 'Shoujo']",JA,12
2240,"Danzaisareteiru Akuyaku Reijou to Irekawatte Konyakusha-tachi wo Buttobashitara, Dekiai ga Matte Imashita","['Comedy', 'Fantasy', 'Shoujo']",JA,4
2241,Dappou Tamer no Nariagari Boukentan ~S Rank Bishoujo Boukensha ga Ore no Juuma ni Natteimasu~,"['Action', 'Adventure', 'Comedy']",EN,20
2242,Darbi,['Action'],EN,165
2243,Dare demo Dakeru Kimi ga Suki,"['Comedy', 'Romance', 'School']",EN,9
2244,Dare ni mo Aisarenai no de Yuka wo Migaite Itara Soko ga Seiiki-ka shita Reijou no Hanashi,"['Comedy', 'Fantasy', 'Romance']",JA,5
2245,"Dark Dragon King, slow life","['Fantasy', 'Slice of Life']",JA,19
2246,Dark Gathering,"['Comedy', 'Horror', 'Shounen']",EN,46
2247,Dark Hunter (The Hunter),"['Action', 'Adventure', 'Drama']",EN,292
2248,Dark Moon: The Blood Altar,"['Action', 'Drama', 'Fantasy']",EN,54
2249,Dark Moon: The Grey City,"['Drama', 'Fantasy', 'Supernatural']",EN,30
2250,Dark Mortal,"['Action', 'Psychological', 'School']",EN,50
2251,Dark Star Emperor,"['Action', 'Ecchi', 'Fantasy']",EN,258
2252,Darkartsmaster,"['Fantasy', 'Magic', 'School']",EN,7
2253,Darkness Of Mahjong Fighter Mamiya,"['Drama', 'Game', 'Psychological']",EN,24
2254,"Darkness of the Sea, Shadow of the Moon","['Drama', 'Horror', 'Romance']",EN,135
2255,Darling Blue,"['Romance', 'Shoujo']",JA,0
2256,Darling In The Franxx,"['Ecchi', 'Mecha', 'Sci-Fi']",EN,60.5
2257,Darling Long Legs,"['Comedy', 'Romance', 'Yaoi']",EN,6
2258,Darui Nodamabu Wa Saboritai: Sebangou Yori Off Wo Kure!,['Sports'],JA,9
2259,Darwin's Game,"['Action', 'Mystery', 'Shounen']",EN,130
2260,Darwin's Incident,"['Sci-Fi', 'Seinen']",EN,6
2261,Dasadanan,"['Comedy', 'Drama', 'Romance']",EN,31
2262,Dase to Iwareta Reijou no Kareinaru Henshin,"['Fantasy', 'Romance']",EN,4
2263,"Date First, Love Later","['Drama', 'Josei', 'Romance']",EN,89
2264,Dating to Survive,['Romance'],EN,15
2265,Dating With a Tail,"['Drama', 'Fantasy', 'Josei']",EN,8
2266,Davinchibi,"['Adventure', 'Fantasy']",EN,8
2267,Daybreak,['Slice of Life'],EN,88
2268,Days,"['School', 'Shounen', 'Sports']",EN,376
2269,Days of Hana,"['Comedy', 'Drama', 'Fantasy']",EN,9
2270,Days of Love at Seagull Villa,"['Shoujo Ai', 'Slice of Life']",EN,16
2271,Days on Fes,"['Music', 'Slice of Life']",EN,22.2
2272,Days with A Girl,"['Drama', 'Psychological', 'Slice of Life']",EN,73
2273,Daytime Star,"['Drama', 'Josei', 'Romance']",EN,77
2274,DD Hokuto no Ken,"['Parody', 'Seinen']",EN,26
2275,"De M Girls and Disappointed Queen, Which Is the Mistress?","['Comedy', 'School', 'Seinen']",JA,29
2276,Dead Account,"['Action', 'Comedy', 'Drama']",JA,24
2277,Dead Company,"['Adventure', 'Drama', 'Horror']",EN,5
2278,Dead Days,"['Action', 'Horror', 'Mystery']",EN,12
2279,Dead Dead Demon's Dededede Destruction,"['Comedy', 'Drama', 'School']",EN,100
2280,Dead Mount Death Play,"['Action', 'Fantasy', 'Seinen']",EN,99
2281,Dead Tube,"['Ecchi', 'Horror', 'School']",EN,90
2282,Deadlife,"['Action', 'Horror', 'Sci-Fi']",EN,5
2283,Deadlove,['Slice of Life'],EN,45
2284,Deadly Class,"['Action', 'Thriller']",EN,44
2285,Deadman Wonderland,"['Action', 'Adventure', 'Drama']",EN,57
2286,Deadman's Questions,"['Action', 'Adventure', 'Horror']",EN,3
2287,Deadman’s Undecember,['nedoločen'],EN,14
2288,Deadpool: Samurai,"['Action', 'Comedy', 'Parody']",EN,15.5
2289,Dear Boy,"['Action', 'Drama', 'School']",EN,60
2290,Dear My school nurse is a VAMPIRE!,"['Romance', 'School', 'Seinen']",EN,1
2291,Dear Nemesis,"['Drama', 'Fantasy', 'Historical']",EN,53
2292,Dear NOMAN,"['Shoujo Ai', 'Supernatural']",EN,7
2293,Dear Sa-chan,"['Drama', 'Psychological', 'Romance']",EN,35
2294,"Dear Self-styled F rank bro' says, he's gonna rule a game-oriented school","['Game', 'School', 'Seinen']",EN,53
2295,Dear Sir Hannibal,"['Action', 'Comedy', 'Ecchi']",EN,55
2296,"Dear Sir, to Us Who Were ""Ice Knight and Mediocre Princess""","['Drama', 'Fantasy', 'Romance']",EN,29
2297,Dear Sir... I Married A Killer,"['Comedy', 'Drama', 'Romance']",EN,45
2298,Dear X,"['Drama', 'Josei', 'Mystery']",EN,6
